ENTIDAD,ANUAL,MESES,Prec,AÑO
CAMPECHE,"1,317.8",ABR,32.8,1994
COAHUILA,320.7,ABR,2.6,1994
COLIMA,705.6,ABR,0.0,1994
CHIAPAS,"1,623.3",ABR,76.1,1994
CHIHUAHUA,477.5,ABR,4.0,1994
DISTRITO FEDERAL,"1,022.1",ABR,45.1,1994
DURANGO,373.0,ABR,5.2,1994
GUANAJUATO,530.6,ABR,18.1,1994
GUERRERO,698.2,ABR,5.3,1994
HIDALGO,718.2,ABR,57.0,1994
JALISCO,550.5,ABR,1.7,1994
ESTADO DE MÉXICO,554.5,ABR,41.0,1994
MICHOACÁN,387.3,ABR,0.8,1994
MORELOS,697.9,ABR,3.9,1994
NAYARIT,"1,231.4",ABR,0.0,1994
NUEVO LEÓN,560.0,ABR,16.7,1994
OAXACA,"1,430.7",ABR,20.0,1994
PUEBLA,"1,302.3",ABR,49.6,1994
QUERÉTARO,403.9,ABR,22.8,1994
QUINTANA ROO,"1,219.9",ABR,10.0,1994
SAN LUIS POTOSÍ,851.5,ABR,42.4,1994
SINALOA,744.9,ABR,1.4,1994
SONORA,513.0,ABR,1.1,1994
TABASCO,"2,170.9",ABR,193.7,1994
TAMAULIPAS,720.4,ABR,22.8,1994
TLAXCALA,987.7,ABR,62.2,1994
VERACRUZ,"1,231.5",ABR,51.3,1994
YUCATÁN,"1,193.7",ABR,90.9,1994
ZACATECAS,573.1,ABR,11.2,1994
AGUASCALIENTES,448.0,MAY,4.3,1994
BAJA CALIFORNIA,155.3,MAY,0.1,1994
BAJA CALIFORNIA SUR,243.4,MAY,0.0,1994
CAMPECHE,"1,317.8",MAY,51.7,1994
COAHUILA,320.7,MAY,8.5,1994
COLIMA,705.6,MAY,0.4,1994
CHIAPAS,"1,623.3",MAY,105.8,1994
CHIHUAHUA,477.5,MAY,3.7,1994
DISTRITO FEDERAL,"1,022.1",MAY,50.2,1994
DURANGO,373.0,MAY,1.8,1994
GUANAJUATO,530.6,MAY,22.4,1994
GUERRERO,698.2,MAY,28.3,1994
HIDALGO,718.2,MAY,41.2,1994
JALISCO,550.5,MAY,2.9,1994
ESTADO DE MÉXICO,554.5,MAY,18.8,1994
MICHOACÁN,387.3,MAY,2.3,1994
MORELOS,697.9,MAY,15.6,1994
NAYARIT,"1,231.4",MAY,0.4,1994
NUEVO LEÓN,560.0,MAY,40.4,1994
OAXACA,"1,430.7",MAY,68.0,1994
PUEBLA,"1,302.3",MAY,65.1,1994
QUERÉTARO,403.9,MAY,37.2,1994
QUINTANA ROO,"1,219.9",MAY,38.1,1994
SAN LUIS POTOSÍ,851.5,MAY,45.2,1994
SINALOA,744.9,MAY,0.0,1994
SONORA,513.0,MAY,0.1,1994
TABASCO,"2,170.9",MAY,62.9,1994
TAMAULIPAS,720.4,MAY,20.0,1994
TLAXCALA,987.7,MAY,77.4,1994
VERACRUZ,"1,231.5",MAY,62.0,1994
YUCATÁN,"1,193.7",MAY,95.2,1994
ZACATECAS,573.1,MAY,6.4,1994
AGUASCALIENTES,448.0,JUN,108.6,1994
BAJA CALIFORNIA,155.3,JUN,1.8,1994
BAJA CALIFORNIA SUR,243.4,JUN,0.0,1994
CAMPECHE,"1,317.8",JUN,148.4,1994
COAHUILA,320.7,JUN,86.8,1994
COLIMA,705.6,JUN,111.9,1994
CHIAPAS,"1,623.3",JUN,11.7,1994
CHIHUAHUA,477.5,JUN,30.4,1994
DISTRITO FEDERAL,"1,022.1",JUN,182.4,1994
DURANGO,373.0,JUN,44.0,1994
GUANAJUATO,530.6,JUN,150.1,1994
GUERRERO,698.2,JUN,94.1,1994
HIDALGO,718.2,JUN,105.9,1994
JALISCO,550.5,JUN,89.3,1994
ESTADO DE MÉXICO,554.5,JUN,83.9,1994
MICHOACÁN,387.3,JUN,45.0,1994
MORELOS,697.9,JUN,127.8,1994
NAYARIT,"1,231.4",JUN,126.7,1994
NUEVO LEÓN,560.0,JUN,48.0,1994
OAXACA,"1,430.7",JUN,133.0,1994
PUEBLA,"1,302.3",JUN,107.1,1994
QUERÉTARO,403.9,JUN,100.5,1994
QUINTANA ROO,"1,219.9",JUN,102.7,1994
SAN LUIS POTOSÍ,851.5,JUN,61.7,1994
SINALOA,744.9,JUN,39.7,1994
SONORA,513.0,JUN,16.9,1994
TABASCO,"2,170.9",JUN,78.4,1994
TAMAULIPAS,720.4,JUN,112.6,1994
TLAXCALA,987.7,JUN,176.4,1994
VERACRUZ,"1,231.5",JUN,104.4,1994
YUCATÁN,"1,193.7",JUN,169.8,1994
ZACATECAS,573.1,JUN,135.8,1994
AGUASCALIENTES,448.0,JUL,72.8,1994
BAJA CALIFORNIA,155.3,JUL,0.0,1994
BAJA CALIFORNIA SUR,243.4,JUL,4.1,1994
CAMPECHE,"1,317.8",JUL,136.7,1994
COAHUILA,320.7,JUL,50.7,1994
COLIMA,705.6,JUL,100.6,1994
CHIAPAS,"1,623.3",JUL,278.1,1994
CHIHUAHUA,477.5,JUL,114.1,1994
DISTRITO FEDERAL,"1,022.1",JUL,221.4,1994
DURANGO,373.0,JUL,79.0,1994
GUANAJUATO,530.6,JUL,83.0,1994
GUERRERO,698.2,JUL,134.7,1994
HIDALGO,718.2,JUL,64.3,1994
JALISCO,550.5,JUL,117.6,1994
ESTADO DE MÉXICO,554.5,JUL,92.5,1994
MICHOACÁN,387.3,JUL,77.0,1994
MORELOS,697.9,JUL,64.7,1994
NAYARIT,"1,231.4",JUL,231.3,1994
NUEVO LEÓN,560.0,JUL,73.8,1994
OAXACA,"1,430.7",JUL,178.2,1994
PUEBLA,"1,302.3",JUL,124.4,1994
QUERÉTARO,403.9,JUL,62.2,1994
QUINTANA ROO,"1,219.9",JUL,57.4,1994
SAN LUIS POTOSÍ,851.5,JUL,47.0,1994
SINALOA,744.9,JUL,184.4,1994
SONORA,513.0,JUL,77.8,1994
TABASCO,"2,170.9",JUL,152.2,1994
TAMAULIPAS,720.4,JUL,32.6,1994
TLAXCALA,987.7,JUL,149.6,1994
VERACRUZ,"1,231.5",JUL,142.0,1994
YUCATÁN,"1,193.7",JUL,89.3,1994
ZACATECAS,573.1,JUL,110.6,1994
AGUASCALIENTES,448.0,AGO,99.1,1994
BAJA CALIFORNIA,155.3,AGO,3.8,1994
BAJA CALIFORNIA SUR,243.4,AGO,67.7,1994
CAMPECHE,"1,317.8",AGO,256.6,1994
COAHUILA,320.7,AGO,23.4,1994
COLIMA,705.6,AGO,184.6,1994
CHIAPAS,"1,623.3",AGO,293.6,1994
CHIHUAHUA,477.5,AGO,106.5,1994
DISTRITO FEDERAL,"1,022.1",AGO,224.9,1994
DURANGO,373.0,AGO,92.6,1994
GUANAJUATO,530.6,AGO,122.5,1994
GUERRERO,698.2,AGO,163.0,1994
HIDALGO,718.2,AGO,179.8,1994
JALISCO,550.5,AGO,128.1,1994
ESTADO DE MÉXICO,554.5,AGO,167.9,1994
MICHOACÁN,387.3,AGO,119.9,1994
MORELOS,697.9,AGO,235.5,1994
NAYARIT,"1,231.4",AGO,439.0,1994
NUEVO LEÓN,560.0,AGO,89.3,1994
OAXACA,"1,430.7",AGO,305.5,1994
PUEBLA,"1,302.3",AGO,365.8,1994
QUERÉTARO,403.9,AGO,97.2,1994
QUINTANA ROO,"1,219.9",AGO,120.9,1994
SAN LUIS POTOSÍ,851.5,AGO,189.0,1994
SINALOA,744.9,AGO,230.8,1994
SONORA,513.0,AGO,113.2,1994
TABASCO,"2,170.9",AGO,314.0,1994
TAMAULIPAS,720.4,AGO,156.5,1994
TLAXCALA,987.7,AGO,234.1,1994
VERACRUZ,"1,231.5",AGO,246.0,1994
YUCATÁN,"1,193.7",AGO,210.2,1994
ZACATECAS,573.1,AGO,136.1,1994
AGUASCALIENTES,448.0,SEP,91.3,1994
BAJA CALIFORNIA,155.3,SEP,0.6,1994
BAJA CALIFORNIA SUR,243.4,SEP,30.8,1994
CAMPECHE,"1,317.8",SEP,286.2,1994
COAHUILA,320.7,SEP,56.2,1994
COLIMA,705.6,SEP,94.0,1994
CHIAPAS,"1,623.3",SEP,255.8,1994
CHIHUAHUA,477.5,SEP,72.2,1994
DISTRITO FEDERAL,"1,022.1",SEP,164.4,1994
DURANGO,373.0,SEP,61.0,1994
GUANAJUATO,530.6,SEP,86.6,1994
GUERRERO,698.2,SEP,144.4,1994
HIDALGO,718.2,SEP,103.6,1994
JALISCO,550.5,SEP,136.2,1994
ESTADO DE MÉXICO,554.5,SEP,96.7,1994
MICHOACÁN,387.3,SEP,94.6,1994
MORELOS,697.9,SEP,103.6,1994
NAYARIT,"1,231.4",SEP,229.4,1994
NUEVO LEÓN,560.0,SEP,98.7,1994
OAXACA,"1,430.7",SEP,356.8,1994
PUEBLA,"1,302.3",SEP,243.3,1994
QUERÉTARO,403.9,SEP,30.2,1994
QUINTANA ROO,"1,219.9",SEP,222.4,1994
SAN LUIS POTOSÍ,851.5,SEP,229.9,1994
SINALOA,744.9,SEP,72.8,1994
SONORA,513.0,SEP,81.0,1994
TABASCO,"2,170.9",SEP,353.7,1994
TAMAULIPAS,720.4,SEP,125.0,1994
TLAXCALA,987.7,SEP,140.2,1994
VERACRUZ,"1,231.5",SEP,226.9,1994
YUCATÁN,"1,193.7",SEP,202.3,1994
ZACATECAS,573.1,SEP,80.7,1994
AGUASCALIENTES,448.0,OCT,51.3,1994
BAJA CALIFORNIA,155.3,OCT,2.6,1994
BAJA CALIFORNIA SUR,243.4,OCT,13.2,1994
CAMPECHE,"1,317.8",OCT,112.3,1994
COAHUILA,320.7,OCT,31.9,1994
COLIMA,705.6,OCT,195.6,1994
CHIAPAS,"1,623.3",OCT,288.0,1994
CHIHUAHUA,477.5,OCT,32.0,1994
DISTRITO FEDERAL,"1,022.1",OCT,98.6,1994
DURANGO,373.0,OCT,52.6,1994
GUANAJUATO,530.6,OCT,41.1,1994
GUERRERO,698.2,OCT,122.5,1994
HIDALGO,718.2,OCT,108.9,1994
JALISCO,550.5,OCT,63.7,1994
ESTADO DE MÉXICO,554.5,OCT,38.3,1994
MICHOACÁN,387.3,OCT,40.7,1994
MORELOS,697.9,OCT,137.0,1994
NAYARIT,"1,231.4",OCT,175.3,1994
NUEVO LEÓN,560.0,OCT,50.0,1994
OAXACA,"1,430.7",OCT,208.0,1994
PUEBLA,"1,302.3",OCT,160.6,1994
QUERÉTARO,403.9,OCT,42.0,1994
QUINTANA ROO,"1,219.9",OCT,80.4,1994
SAN LUIS POTOSÍ,851.5,OCT,156.4,1994
SINALOA,744.9,OCT,60.2,1994
SONORA,513.0,OCT,24.4,1994
TABASCO,"2,170.9",OCT,226.0,1994
TAMAULIPAS,720.4,OCT,97.3,1994
TLAXCALA,987.7,OCT,95.7,1994
VERACRUZ,"1,231.5",OCT,119.5,1994
YUCATÁN,"1,193.7",OCT,99.2,1994
ZACATECAS,573.1,OCT,75.6,1994
AGUASCALIENTES,448.0,NOV,0.5,1994
BAJA CALIFORNIA,155.3,NOV,16.7,1994
BAJA CALIFORNIA SUR,243.4,NOV,37.0,1994
CAMPECHE,"1,317.8",NOV,46.1,1994
COAHUILA,320.7,NOV,12.6,1994
COLIMA,705.6,NOV,18.5,1994
CHIAPAS,"1,623.3",NOV,111.9,1994
CHIHUAHUA,477.5,NOV,43.3,1994
DISTRITO FEDERAL,"1,022.1",NOV,7.1,1994
DURANGO,373.0,NOV,7.5,1994
GUANAJUATO,530.6,NOV,0.9,1994
GUERRERO,698.2,NOV,5.4,1994
HIDALGO,718.2,NOV,10.8,1994
JALISCO,550.5,NOV,9.2,1994
ESTADO DE MÉXICO,554.5,NOV,2.6,1994
MICHOACÁN,387.3,NOV,3.7,1994
MORELOS,697.9,NOV,8.9,1994
NAYARIT,"1,231.4",NOV,11.5,1994
NUEVO LEÓN,560.0,NOV,21.5,1994
OAXACA,"1,430.7",NOV,89.7,1994
PUEBLA,"1,302.3",NOV,85.0,1994
QUERÉTARO,403.9,NOV,5.0,1994
QUINTANA ROO,"1,219.9",NOV,207.1,1994
SAN LUIS POTOSÍ,851.5,NOV,23.6,1994
SINALOA,744.9,NOV,87.7,1994
SONORA,513.0,NOV,75.4,1994
TABASCO,"2,170.9",NOV,123.6,1994
TAMAULIPAS,720.4,NOV,14.0,1994
TLAXCALA,987.7,NOV,13.4,1994
VERACRUZ,"1,231.5",NOV,101.5,1994
YUCATÁN,"1,193.7",NOV,40.8,1994
ZACATECAS,573.1,NOV,5.9,1994
AGUASCALIENTES,448.0,DIC,1.2,1994
BAJA CALIFORNIA,155.3,DIC,20.5,1994
BAJA CALIFORNIA SUR,243.4,DIC,89.1,1994
CAMPECHE,"1,317.8",DIC,78.9,1994
COAHUILA,320.7,DIC,21.9,1994
COLIMA,705.6,DIC,0.0,1994
CHIAPAS,"1,623.3",DIC,67.4,1994
CHIHUAHUA,477.5,DIC,63.6,1994
DISTRITO FEDERAL,"1,022.1",DIC,3.9,1994
DURANGO,373.0,DIC,14.7,1994
GUANAJUATO,530.6,DIC,2.0,1994
GUERRERO,698.2,DIC,0.0,1994
HIDALGO,718.2,DIC,14.5,1994
JALISCO,550.5,DIC,1.2,1994
ESTADO DE MÉXICO,554.5,DIC,4.4,1994
MICHOACÁN,387.3,DIC,2.9,1994
MORELOS,697.9,DIC,0.0,1994
NAYARIT,"1,231.4",DIC,11.7,1994
NUEVO LEÓN,560.0,DIC,24.7,1994
OAXACA,"1,430.7",DIC,15.2,1994
PUEBLA,"1,302.3",DIC,39.0,1994
QUERÉTARO,403.9,DIC,0.0,1994
QUINTANA ROO,"1,219.9",DIC,101.0,1994
SAN LUIS POTOSÍ,851.5,DIC,10.7,1994
SINALOA,744.9,DIC,63.7,1994
SONORA,513.0,DIC,116.2,1994
TABASCO,"2,170.9",DIC,134.6,1994
TAMAULIPAS,720.4,DIC,30.7,1994
TLAXCALA,987.7,DIC,11.9,1994
VERACRUZ,"1,231.5",DIC,77.6,1994
YUCATÁN,"1,193.7",DIC,73.9,1994
ZACATECAS,573.1,DIC,4.0,1994
AGUASCALIENTES,462.1,ENE,1.8,1995
BAJA CALIFORNIA,329.0,ENE,99.9,1995
BAJA CALIFORNIA SUR,155.3,ENE,12.7,1995
CAMPECHE,"1,639.5",ENE,16.7,1995
COAHUILA,351.4,ENE,2.0,1995
COLIMA,624.1,ENE,0.0,1995
CHIAPAS,"2,104.6",ENE,94.9,1995
CHIHUAHUA,347.4,ENE,5.3,1995
DISTRITO FEDERAL,961.2,ENE,31.0,1995
DURANGO,317.6,ENE,1.5,1995
GUANAJUATO,598.8,ENE,4.6,1995
GUERRERO,863.6,ENE,7.5,1995
HIDALGO,755.3,ENE,30.8,1995
JALISCO,513.0,ENE,0.5,1995
ESTADO DE MÉXICO,611.4,ENE,15.3,1995
MICHOACÁN,570.8,ENE,1.6,1995
MORELOS,"1,116.4",ENE,36.1,1995
NAYARIT,"1,091.7",ENE,0.0,1995
NUEVO LEÓN,580.9,ENE,12.0,1995
OAXACA,"1,922.5",ENE,40.5,1995
PUEBLA,"2,135.0",ENE,42.9,1995
QUERÉTARO,567.8,ENE,4.8,1995
QUINTANA ROO,"1,514.4",ENE,60.0,1995
SAN LUIS POTOSÍ,789.6,ENE,7.5,1995
SINALOA,490.8,ENE,2.2,1995
SONORA,327.1,ENE,14.1,1995
TABASCO,"3,366.9",ENE,251.7,1995
TAMAULIPAS,723.3,ENE,6.7,1995
TLAXCALA,"1,132.1",ENE,33.7,1995
VERACRUZ,"1,474.5",ENE,64.6,1995
YUCATÁN,909.9,ENE,27.1,1995
ZACATECAS,499.2,ENE,2.5,1995
AGUASCALIENTES,462.1,FEB,2.2,1995
BAJA CALIFORNIA,329.0,FEB,57.9,1995
BAJA CALIFORNIA SUR,155.3,FEB,7.0,1995
CAMPECHE,"1,639.5",FEB,11.6,1995
COAHUILA,351.4,FEB,11.2,1995
COLIMA,624.1,FEB,0.0,1995
CHIAPAS,"2,104.6",FEB,70.9,1995
CHIHUAHUA,347.4,FEB,29.8,1995
DISTRITO FEDERAL,961.2,FEB,13.1,1995
DURANGO,317.6,FEB,3.2,1995
GUANAJUATO,598.8,FEB,7.9,1995
GUERRERO,863.6,FEB,8.7,1995
HIDALGO,755.3,FEB,38.0,1995
JALISCO,513.0,FEB,3.7,1995
ESTADO DE MÉXICO,611.4,FEB,9.4,1995
MICHOACÁN,570.8,FEB,0.7,1995
MORELOS,"1,116.4",FEB,0.8,1995
NAYARIT,"1,091.7",FEB,1.4,1995
NUEVO LEÓN,580.9,FEB,17.2,1995
OAXACA,"1,922.5",FEB,11.1,1995
PUEBLA,"2,135.0",FEB,48.9,1995
QUERÉTARO,567.8,FEB,5.6,1995
QUINTANA ROO,"1,514.4",FEB,31.9,1995
SAN LUIS POTOSÍ,789.6,FEB,19.3,1995
SINALOA,490.8,FEB,7.8,1995
SONORA,327.1,FEB,43.2,1995
TABASCO,"3,366.9",FEB,142.7,1995
TAMAULIPAS,723.3,FEB,11.5,1995
TLAXCALA,"1,132.1",FEB,19.7,1995
VERACRUZ,"1,474.5",FEB,31.0,1995
YUCATÁN,909.9,FEB,0.9,1995
ZACATECAS,499.2,FEB,1.1,1995
AGUASCALIENTES,462.1,MAR,0.0,1995
BAJA CALIFORNIA,329.0,MAR,114.3,1995
BAJA CALIFORNIA SUR,155.3,MAR,0.0,1995
CAMPECHE,"1,639.5",MAR,20.2,1995
COAHUILA,351.4,MAR,16.2,1995
COLIMA,624.1,MAR,0.0,1995
CHIAPAS,"2,104.6",MAR,54.6,1995
CHIHUAHUA,347.4,MAR,2.6,1995
DISTRITO FEDERAL,961.2,MAR,11.1,1995
DURANGO,317.6,MAR,0.0,1995
GUANAJUATO,598.8,MAR,0.4,1995
GUERRERO,863.6,MAR,0.0,1995
HIDALGO,755.3,MAR,19.0,1995
JALISCO,513.0,MAR,0.0,1995
ESTADO DE MÉXICO,611.4,MAR,7.4,1995
MICHOACÁN,570.8,MAR,0.1,1995
MORELOS,"1,116.4",MAR,1.9,1995
NAYARIT,"1,091.7",MAR,0.0,1995
NUEVO LEÓN,580.9,MAR,16.8,1995
OAXACA,"1,922.5",MAR,25.5,1995
PUEBLA,"2,135.0",MAR,33.2,1995
QUERÉTARO,567.8,MAR,5.9,1995
QUINTANA ROO,"1,514.4",MAR,21.3,1995
SAN LUIS POTOSÍ,789.6,MAR,17.9,1995
SINALOA,490.8,MAR,0.0,1995
SONORA,327.1,MAR,4.1,1995
TABASCO,"3,366.9",MAR,110.6,1995
TAMAULIPAS,723.3,MAR,20.6,1995
TLAXCALA,"1,132.1",MAR,23.8,1995
VERACRUZ,"1,474.5",MAR,29.4,1995
YUCATÁN,909.9,MAR,39.2,1995
ZACATECAS,499.2,MAR,0.0,1995
AGUASCALIENTES,462.1,ABR,0.0,1995
BAJA CALIFORNIA,329.0,ABR,22.7,1995
BAJA CALIFORNIA SUR,155.3,ABR,0.0,1995
CAMPECHE,"1,639.5",ABR,69.2,1995
COAHUILA,351.4,ABR,4.8,1995
COLIMA,624.1,ABR,0.1,1995
CHIAPAS,"2,104.6",ABR,116.3,1995
CHIHUAHUA,347.4,ABR,0.2,1995
DISTRITO FEDERAL,961.2,ABR,13.3,1995
DURANGO,317.6,ABR,0.0,1995
GUANAJUATO,598.8,ABR,7.4,1995
GUERRERO,863.6,ABR,4.3,1995
HIDALGO,755.3,ABR,21.3,1995
JALISCO,513.0,ABR,0.1,1995
ESTADO DE MÉXICO,611.4,ABR,6.3,1995
MICHOACÁN,570.8,ABR,1.8,1995
MORELOS,"1,116.4",ABR,6.9,1995
NAYARIT,"1,091.7",ABR,0.0,1995
NUEVO LEÓN,580.9,ABR,8.0,1995
OAXACA,"1,922.5",ABR,37.9,1995
PUEBLA,"2,135.0",ABR,32.2,1995
QUERÉTARO,567.8,ABR,8.2,1995
QUINTANA ROO,"1,514.4",ABR,110.2,1995
SAN LUIS POTOSÍ,789.6,ABR,15.3,1995
SINALOA,490.8,ABR,0.0,1995
SONORA,327.1,ABR,0.7,1995
TABASCO,"3,366.9",ABR,179.9,1995
TAMAULIPAS,723.3,ABR,20.1,1995
TLAXCALA,"1,132.1",ABR,48.4,1995
VERACRUZ,"1,474.5",ABR,30.0,1995
YUCATÁN,909.9,ABR,11.0,1995
ZACATECAS,499.2,ABR,0.0,1995
AGUASCALIENTES,462.1,MAY,6.7,1995
BAJA CALIFORNIA,329.0,MAY,17.5,1995
BAJA CALIFORNIA SUR,155.3,MAY,0.7,1995
CAMPECHE,"1,639.5",MAY,13.2,1995
COAHUILA,351.4,MAY,72.3,1995
COLIMA,624.1,MAY,0.0,1995
CHIAPAS,"2,104.6",MAY,91.4,1995
CHIHUAHUA,347.4,MAY,1.7,1995
DISTRITO FEDERAL,961.2,MAY,102.3,1995
DURANGO,317.6,MAY,1.7,1995
GUANAJUATO,598.8,MAY,93.5,1995
GUERRERO,863.6,MAY,53.9,1995
HIDALGO,755.3,MAY,59.9,1995
JALISCO,513.0,MAY,22.2,1995
ESTADO DE MÉXICO,611.4,MAY,70.9,1995
MICHOACÁN,570.8,MAY,16.1,1995
MORELOS,"1,116.4",MAY,223.2,1995
NAYARIT,"1,091.7",MAY,0.0,1995
NUEVO LEÓN,580.9,MAY,90.7,1995
OAXACA,"1,922.5",MAY,131.0,1995
PUEBLA,"2,135.0",MAY,164.6,1995
QUERÉTARO,567.8,MAY,67.3,1995
QUINTANA ROO,"1,514.4",MAY,17.6,1995
SAN LUIS POTOSÍ,789.6,MAY,78.5,1995
SINALOA,490.8,MAY,0.0,1995
SONORA,327.1,MAY,0.0,1995
TABASCO,"3,366.9",MAY,32.3,1995
TAMAULIPAS,723.3,MAY,50.6,1995
TLAXCALA,"1,132.1",MAY,158.5,1995
VERACRUZ,"1,474.5",MAY,59.4,1995
YUCATÁN,909.9,MAY,20.7,1995
ZACATECAS,499.2,MAY,13.9,1995
AGUASCALIENTES,462.1,JUN,78.8,1995
BAJA CALIFORNIA,329.0,JUN,5.0,1995
BAJA CALIFORNIA SUR,155.3,JUN,0.0,1995
CAMPECHE,"1,639.5",JUN,245.7,1995
COAHUILA,351.4,JUN,12.7,1995
COLIMA,624.1,JUN,115.2,1995
CHIAPAS,"2,104.6",JUN,316.6,1995
CHIHUAHUA,347.4,JUN,29.6,1995
DISTRITO FEDERAL,961.2,JUN,159.9,1995
DURANGO,317.6,JUN,39.3,1995
GUANAJUATO,598.8,JUN,91.2,1995
GUERRERO,863.6,JUN,133.1,1995
HIDALGO,755.3,JUN,59.2,1995
JALISCO,513.0,JUN,89.8,1995
ESTADO DE MÉXICO,611.4,JUN,103.6,1995
MICHOACÁN,570.8,JUN,92.2,1995
MORELOS,"1,116.4",JUN,226.7,1995
NAYARIT,"1,091.7",JUN,98.3,1995
NUEVO LEÓN,580.9,JUN,59.2,1995
OAXACA,"1,922.5",JUN,203.4,1995
PUEBLA,"2,135.0",JUN,223.3,1995
QUERÉTARO,567.8,JUN,97.2,1995
QUINTANA ROO,"1,514.4",JUN,254.4,1995
SAN LUIS POTOSÍ,789.6,JUN,104.6,1995
SINALOA,490.8,JUN,10.9,1995
SONORA,327.1,JUN,1.3,1995
TABASCO,"3,366.9",JUN,436.1,1995
TAMAULIPAS,723.3,JUN,65.5,1995
TLAXCALA,"1,132.1",JUN,170.6,1995
VERACRUZ,"1,474.5",JUN,174.6,1995
YUCATÁN,909.9,JUN,134.4,1995
ZACATECAS,499.2,JUN,82.4,1995
AGUASCALIENTES,462.1,JUL,120.0,1995
BAJA CALIFORNIA,329.0,JUL,0.3,1995
BAJA CALIFORNIA SUR,155.3,JUL,8.3,1995
CAMPECHE,"1,639.5",JUL,141.8,1995
COAHUILA,351.4,JUL,42.2,1995
COLIMA,624.1,JUL,73.1,1995
CHIAPAS,"2,104.6",JUL,311.8,1995
CHIHUAHUA,347.4,JUL,79.4,1995
DISTRITO FEDERAL,961.2,JUL,154.6,1995
DURANGO,317.6,JUL,87.9,1995
GUANAJUATO,598.8,JUL,112.2,1995
GUERRERO,863.6,JUL,137.1,1995
HIDALGO,755.3,JUL,98.6,1995
JALISCO,513.0,JUL,109.1,1995
ESTADO DE MÉXICO,611.4,JUL,117.6,1995
MICHOACÁN,570.8,JUL,124.7,1995
MORELOS,"1,116.4",JUL,127.1,1995
NAYARIT,"1,091.7",JUL,392.0,1995
NUEVO LEÓN,580.9,JUL,46.4,1995
OAXACA,"1,922.5",JUL,308.8,1995
PUEBLA,"2,135.0",JUL,342.8,1995
QUERÉTARO,567.8,JUL,29.8,1995
QUINTANA ROO,"1,514.4",JUL,167.0,1995
SAN LUIS POTOSÍ,789.6,JUL,104.1,1995
SINALOA,490.8,JUL,131.3,1995
SONORA,327.1,JUL,55.1,1995
TABASCO,"3,366.9",JUL,463.7,1995
TAMAULIPAS,723.3,JUL,63.3,1995
TLAXCALA,"1,132.1",JUL,115.4,1995
VERACRUZ,"1,474.5",JUL,303.9,1995
YUCATÁN,909.9,JUL,128.7,1995
ZACATECAS,499.2,JUL,121.8,1995
AGUASCALIENTES,462.1,AGO,150.7,1995
BAJA CALIFORNIA,329.0,AGO,0.5,1995
BAJA CALIFORNIA SUR,155.3,AGO,25.4,1995
CAMPECHE,"1,639.5",AGO,180.7,1995
COAHUILA,351.4,AGO,48.2,1995
COLIMA,624.1,AGO,237.1,1995
CHIAPAS,"2,104.6",AGO,375.4,1995
CHIHUAHUA,347.4,AGO,78.5,1995
DISTRITO FEDERAL,961.2,AGO,191.2,1995
DURANGO,317.6,AGO,97.6,1995
GUANAJUATO,598.8,AGO,162.9,1995
GUERRERO,863.6,AGO,218.4,1995
HIDALGO,755.3,AGO,164.4,1995
JALISCO,513.0,AGO,161.8,1995
ESTADO DE MÉXICO,611.4,AGO,137.4,1995
MICHOACÁN,570.8,AGO,164.2,1995
MORELOS,"1,116.4",AGO,232.1,1995
NAYARIT,"1,091.7",AGO,380.6,1995
NUEVO LEÓN,580.9,AGO,197.8,1995
OAXACA,"1,922.5",AGO,675.3,1995
PUEBLA,"2,135.0",AGO,518.2,1995
QUERÉTARO,567.8,AGO,181.6,1995
QUINTANA ROO,"1,514.4",AGO,73.6,1995
SAN LUIS POTOSÍ,789.6,AGO,260.9,1995
SINALOA,490.8,AGO,185.8,1995
SONORA,327.1,AGO,101.9,1995
TABASCO,"3,366.9",AGO,405.3,1995
TAMAULIPAS,723.3,AGO,233.6,1995
TLAXCALA,"1,132.1",AGO,270.0,1995
VERACRUZ,"1,474.5",AGO,285.3,1995
YUCATÁN,909.9,AGO,111.6,1995
ZACATECAS,499.2,AGO,176.1,1995
AGUASCALIENTES,462.1,SEP,92.7,1995
BAJA CALIFORNIA,329.0,SEP,1.0,1995
BAJA CALIFORNIA SUR,155.3,SEP,91.0,1995
CAMPECHE,"1,639.5",SEP,413.4,1995
COAHUILA,351.4,SEP,80.9,1995
COLIMA,624.1,SEP,104.0,1995
CHIAPAS,"2,104.6",SEP,286.4,1995
CHIHUAHUA,347.4,SEP,94.6,1995
DISTRITO FEDERAL,961.2,SEP,100.4,1995
DURANGO,317.6,SEP,75.8,1995
GUANAJUATO,598.8,SEP,72.8,1995
GUERRERO,863.6,SEP,171.1,1995
HIDALGO,755.3,SEP,63.6,1995
JALISCO,513.0,SEP,100.7,1995
ESTADO DE MÉXICO,611.4,SEP,74.8,1995
MICHOACÁN,570.8,SEP,92.4,1995
MORELOS,"1,116.4",SEP,105.9,1995
NAYARIT,"1,091.7",SEP,197.8,1995
NUEVO LEÓN,580.9,SEP,54.1,1995
OAXACA,"1,922.5",SEP,132.0,1995
PUEBLA,"2,135.0",SEP,282.3,1995
QUERÉTARO,567.8,SEP,112.8,1995
QUINTANA ROO,"1,514.4",SEP,420.0,1995
SAN LUIS POTOSÍ,789.6,SEP,61.7,1995
SINALOA,490.8,SEP,149.5,1995
