ENTIDAD,ANUAL,MESES,Tmin,AÑO
AGUASCALIENTES,8.7,ENE,3.2,1985
BAJA CALIFORNIA,10.2,ENE,4.5,1985
BAJA CALIFORNIA SUR,14.3,ENE,8.7,1985
CAMPECHE,19.4,ENE,15.9,1985
COAHUILA,11.8,ENE,1.8,1985
COLIMA,17.4,ENE,15.1,1985
CHIAPAS,17.2,ENE,13.9,1985
CHIHUAHUA,7.1,ENE,-1.3,1985
DISTRITO FEDERAL,8.3,ENE,4.9,1985
DURANGO,8.1,ENE,1.0,1985
GUANAJUATO,9.9,ENE,5.1,1985
GUERRERO,17.8,ENE,15.5,1985
HIDALGO,7.7,ENE,3.6,1985
JALISCO,11.9,ENE,6.9,1985
ESTADO DE MÉXICO,7.0,ENE,3.8,1985
MICHOACÁN,12.0,ENE,8.5,1985
MORELOS,13.8,ENE,10.1,1985
NAYARIT,16.5,ENE,12.7,1985
NUEVO LEÓN,12.8,ENE,3.9,1985
OAXACA,14.7,ENE,11.9,1985
PUEBLA,9.9,ENE,6.5,1985
QUERÉTARO,9.6,ENE,4.8,1985
QUINTANA ROO,19.4,ENE,15.1,1985
SAN LUIS POTOSÍ,12.9,ENE,6.3,1985
SINALOA,16.4,ENE,10.6,1985
SONORA,12.7,ENE,5.7,1985
TABASCO,21.3,ENE,17.6,1985
TAMAULIPAS,16.6,ENE,7.4,1985
TLAXCALA,5.1,ENE,1.6,1985
VERACRUZ,17.1,ENE,12.1,1985
YUCATÁN,18.9,ENE,15.0,1985
ZACATECAS,8.9,ENE,3.2,1985
AGUASCALIENTES,8.7,FEB,4.9,1985
BAJA CALIFORNIA,10.2,FEB,4.5,1985
BAJA CALIFORNIA SUR,14.3,FEB,8.4,1985
CAMPECHE,19.4,FEB,16.9,1985
COAHUILA,11.8,FEB,4.8,1985
COLIMA,17.4,FEB,13.9,1985
CHIAPAS,17.2,FEB,15.0,1985
CHIHUAHUA,7.1,FEB,-0.5,1985
DISTRITO FEDERAL,8.3,FEB,5.8,1985
DURANGO,8.1,FEB,2.5,1985
GUANAJUATO,9.9,FEB,6.4,1985
GUERRERO,17.8,FEB,15.3,1985
HIDALGO,7.7,FEB,4.8,1985
JALISCO,11.9,FEB,7.9,1985
ESTADO DE MÉXICO,7.0,FEB,4.0,1985
MICHOACÁN,12.0,FEB,8.9,1985
MORELOS,13.8,FEB,10.9,1985
NAYARIT,16.5,FEB,12.4,1985
NUEVO LEÓN,12.8,FEB,6.5,1985
OAXACA,14.7,FEB,12.3,1985
PUEBLA,9.9,FEB,7.3,1985
QUERÉTARO,9.6,FEB,5.9,1985
QUINTANA ROO,19.4,FEB,16.8,1985
SAN LUIS POTOSÍ,12.9,FEB,7.8,1985
SINALOA,16.4,FEB,10.2,1985
SONORA,12.7,FEB,5.3,1985
TABASCO,21.3,FEB,18.9,1985
TAMAULIPAS,16.6,FEB,10.3,1985
TLAXCALA,5.1,FEB,2.1,1985
VERACRUZ,17.1,FEB,13.7,1985
YUCATÁN,18.9,FEB,16.9,1985
ZACATECAS,8.9,FEB,5.0,1985
AGUASCALIENTES,8.7,MAR,7.6,1985
BAJA CALIFORNIA,10.2,MAR,6.1,1985
BAJA CALIFORNIA SUR,14.3,MAR,10.7,1985
CAMPECHE,19.4,MAR,19.0,1985
COAHUILA,11.8,MAR,10.4,1985
COLIMA,17.4,MAR,15.1,1985
CHIAPAS,17.2,MAR,16.8,1985
CHIHUAHUA,7.1,MAR,4.2,1985
DISTRITO FEDERAL,8.3,MAR,8.1,1985
DURANGO,8.1,MAR,6.4,1985
GUANAJUATO,9.9,MAR,9.3,1985
GUERRERO,17.8,MAR,17.1,1985
HIDALGO,7.7,MAR,7.1,1985
JALISCO,11.9,MAR,10.1,1985
ESTADO DE MÉXICO,7.0,MAR,6.0,1985
MICHOACÁN,12.0,MAR,11.1,1985
MORELOS,13.8,MAR,13.2,1985
NAYARIT,16.5,MAR,13.6,1985
NUEVO LEÓN,12.8,MAR,11.3,1985
OAXACA,14.7,MAR,13.9,1985
PUEBLA,9.9,MAR,9.5,1985
QUERÉTARO,9.6,MAR,9.4,1985
QUINTANA ROO,19.4,MAR,18.2,1985
SAN LUIS POTOSÍ,12.9,MAR,12.5,1985
SINALOA,16.4,MAR,12.2,1985
SONORA,12.7,MAR,7.7,1985
TABASCO,21.3,MAR,21.1,1985
TAMAULIPAS,16.6,MAR,15.4,1985
TLAXCALA,5.1,MAR,4.2,1985
VERACRUZ,17.1,MAR,16.5,1985
YUCATÁN,18.9,MAR,18.3,1985
ZACATECAS,8.9,MAR,7.6,1985
AGUASCALIENTES,8.7,ABR,9.0,1985
BAJA CALIFORNIA,10.2,ABR,9.5,1985
BAJA CALIFORNIA SUR,14.3,ABR,12.2,1985
CAMPECHE,19.4,ABR,19.6,1985
COAHUILA,11.8,ABR,12.1,1985
COLIMA,17.4,ABR,15.4,1985
CHIAPAS,17.2,ABR,17.8,1985
CHIHUAHUA,7.1,ABR,6.9,1985
DISTRITO FEDERAL,8.3,ABR,8.5,1985
DURANGO,8.1,ABR,7.5,1985
GUANAJUATO,9.9,ABR,10.6,1985
GUERRERO,17.8,ABR,18.2,1985
HIDALGO,7.7,ABR,8.6,1985
JALISCO,11.9,ABR,11.2,1985
ESTADO DE MÉXICO,7.0,ABR,7.5,1985
MICHOACÁN,12.0,ABR,12.3,1985
MORELOS,13.8,ABR,15.1,1985
NAYARIT,16.5,ABR,14.7,1985
NUEVO LEÓN,12.8,ABR,13.1,1985
OAXACA,14.7,ABR,15.6,1985
PUEBLA,9.9,ABR,10.3,1985
QUERÉTARO,9.6,ABR,10.4,1985
QUINTANA ROO,19.4,ABR,19.1,1985
SAN LUIS POTOSÍ,12.9,ABR,13.4,1985
SINALOA,16.4,ABR,14.6,1985
SONORA,12.7,ABR,11.2,1985
TABASCO,21.3,ABR,21.7,1985
TAMAULIPAS,16.6,ABR,17.5,1985
TLAXCALA,5.1,ABR,6.0,1985
VERACRUZ,17.1,ABR,17.9,1985
YUCATÁN,18.9,ABR,18.7,1985
ZACATECAS,8.9,ABR,8.9,1985
AGUASCALIENTES,8.7,MAY,12.1,1985
BAJA CALIFORNIA,10.2,MAY,11.1,1985
BAJA CALIFORNIA SUR,14.3,MAY,14.0,1985
CAMPECHE,19.4,MAY,21.0,1985
COAHUILA,11.8,MAY,15.7,1985
COLIMA,17.4,MAY,17.3,1985
CHIAPAS,17.2,MAY,18.7,1985
CHIHUAHUA,7.1,MAY,11.1,1985
DISTRITO FEDERAL,8.3,MAY,9.8,1985
DURANGO,8.1,MAY,11.7,1985
GUANAJUATO,9.9,MAY,12.8,1985
GUERRERO,17.8,MAY,19.8,1985
HIDALGO,7.7,MAY,9.4,1985
JALISCO,11.9,MAY,14.1,1985
ESTADO DE MÉXICO,7.0,MAY,8.5,1985
MICHOACÁN,12.0,MAY,14.1,1985
MORELOS,13.8,MAY,16.3,1985
NAYARIT,16.5,MAY,17.4,1985
NUEVO LEÓN,12.8,MAY,16.3,1985
OAXACA,14.7,MAY,16.2,1985
PUEBLA,9.9,MAY,12.1,1985
QUERÉTARO,9.6,MAY,11.7,1985
QUINTANA ROO,19.4,MAY,20.4,1985
SAN LUIS POTOSÍ,12.9,MAY,16.0,1985
SINALOA,16.4,MAY,17.2,1985
SONORA,12.7,MAY,14.0,1985
TABASCO,21.3,MAY,23.0,1985
TAMAULIPAS,16.6,MAY,20.2,1985
TLAXCALA,5.1,MAY,6.4,1985
VERACRUZ,17.1,MAY,19.3,1985
YUCATÁN,18.9,MAY,19.9,1985
ZACATECAS,8.9,MAY,12.1,1985
AGUASCALIENTES,8.7,JUN,12.7,1985
BAJA CALIFORNIA,10.2,JUN,13.6,1985
BAJA CALIFORNIA SUR,14.3,JUN,16.8,1985
CAMPECHE,19.4,JUN,21.1,1985
COAHUILA,11.8,JUN,16.9,1985
COLIMA,17.4,JUN,20.6,1985
CHIAPAS,17.2,JUN,19.0,1985
CHIHUAHUA,7.1,JUN,14.2,1985
DISTRITO FEDERAL,8.3,JUN,11.2,1985
DURANGO,8.1,JUN,14.0,1985
GUANAJUATO,9.9,JUN,13.4,1985
GUERRERO,17.8,JUN,19.8,1985
HIDALGO,7.7,JUN,11.0,1985
JALISCO,11.9,JUN,15.9,1985
ESTADO DE MÉXICO,7.0,JUN,9.9,1985
MICHOACÁN,12.0,JUN,15.3,1985
MORELOS,13.8,JUN,16.7,1985
NAYARIT,16.5,JUN,20.7,1985
NUEVO LEÓN,12.8,JUN,17.5,1985
OAXACA,14.7,JUN,16.7,1985
PUEBLA,9.9,JUN,12.8,1985
QUERÉTARO,9.6,JUN,12.8,1985
QUINTANA ROO,19.4,JUN,21.6,1985
SAN LUIS POTOSÍ,12.9,JUN,16.5,1985
SINALOA,16.4,JUN,21.5,1985
SONORA,12.7,JUN,19.4,1985
TABASCO,21.3,JUN,23.0,1985
TAMAULIPAS,16.6,JUN,21.0,1985
TLAXCALA,5.1,JUN,8.4,1985
VERACRUZ,17.1,JUN,19.8,1985
YUCATÁN,18.9,JUN,20.9,1985
ZACATECAS,8.9,JUN,13.0,1985
AGUASCALIENTES,8.7,JUL,11.7,1985
BAJA CALIFORNIA,10.2,JUL,17.6,1985
BAJA CALIFORNIA SUR,14.3,JUL,20.6,1985
CAMPECHE,19.4,JUL,20.8,1985
COAHUILA,11.8,JUL,16.8,1985
COLIMA,17.4,JUL,19.9,1985
CHIAPAS,17.2,JUL,18.4,1985
CHIHUAHUA,7.1,JUL,15.1,1985
DISTRITO FEDERAL,8.3,JUL,10.1,1985
DURANGO,8.1,JUL,12.9,1985
GUANAJUATO,9.9,JUL,12.8,1985
GUERRERO,17.8,JUL,19.0,1985
HIDALGO,7.7,JUL,10.2,1985
JALISCO,11.9,JUL,15.2,1985
ESTADO DE MÉXICO,7.0,JUL,9.3,1985
MICHOACÁN,12.0,JUL,14.7,1985
MORELOS,13.8,JUL,15.5,1985
NAYARIT,16.5,JUL,20.7,1985
NUEVO LEÓN,12.8,JUL,17.7,1985
OAXACA,14.7,JUL,16.1,1985
PUEBLA,9.9,JUL,11.8,1985
QUERÉTARO,9.6,JUL,13.1,1985
QUINTANA ROO,19.4,JUL,21.6,1985
SAN LUIS POTOSÍ,12.9,JUL,15.8,1985
SINALOA,16.4,JUL,22.4,1985
SONORA,12.7,JUL,22.1,1985
TABASCO,21.3,JUL,22.5,1985
TAMAULIPAS,16.6,JUL,20.6,1985
TLAXCALA,5.1,JUL,7.3,1985
VERACRUZ,17.1,JUL,19.1,1985
YUCATÁN,18.9,JUL,20.5,1985
ZACATECAS,8.9,JUL,12.2,1985
AGUASCALIENTES,8.7,AGO,11.6,1985
BAJA CALIFORNIA,10.2,AGO,16.9,1985
BAJA CALIFORNIA SUR,14.3,AGO,21.6,1985
CAMPECHE,19.4,AGO,20.7,1985
COAHUILA,11.8,AGO,17.5,1985
COLIMA,17.4,AGO,20.4,1985
CHIAPAS,17.2,AGO,18.3,1985
CHIHUAHUA,7.1,AGO,15.2,1985
DISTRITO FEDERAL,8.3,AGO,10.5,1985
DURANGO,8.1,AGO,13.8,1985
GUANAJUATO,9.9,AGO,12.6,1985
GUERRERO,17.8,AGO,18.9,1985
HIDALGO,7.7,AGO,10.1,1985
JALISCO,11.9,AGO,15.2,1985
ESTADO DE MÉXICO,7.0,AGO,9.1,1985
MICHOACÁN,12.0,AGO,14.7,1985
MORELOS,13.8,AGO,16.0,1985
NAYARIT,16.5,AGO,20.8,1985
NUEVO LEÓN,12.8,AGO,18.1,1985
OAXACA,14.7,AGO,16.1,1985
PUEBLA,9.9,AGO,11.8,1985
QUERÉTARO,9.6,AGO,12.4,1985
QUINTANA ROO,19.4,AGO,21.2,1985
SAN LUIS POTOSÍ,12.9,AGO,16.3,1985
SINALOA,16.4,AGO,22.7,1985
SONORA,12.7,AGO,21.9,1985
TABASCO,21.3,AGO,22.7,1985
TAMAULIPAS,16.6,AGO,21.4,1985
TLAXCALA,5.1,AGO,7.1,1985
VERACRUZ,17.1,AGO,19.1,1985
YUCATÁN,18.9,AGO,20.6,1985
ZACATECAS,8.9,AGO,12.2,1985
AGUASCALIENTES,8.7,SEP,11.1,1985
BAJA CALIFORNIA,10.2,SEP,13.8,1985
BAJA CALIFORNIA SUR,14.3,SEP,20.1,1985
CAMPECHE,19.4,SEP,20.6,1985
COAHUILA,11.8,SEP,16.3,1985
COLIMA,17.4,SEP,19.3,1985
CHIAPAS,17.2,SEP,18.2,1985
CHIHUAHUA,7.1,SEP,12.2,1985
DISTRITO FEDERAL,8.3,SEP,10.1,1985
DURANGO,8.1,SEP,12.5,1985
GUANAJUATO,9.9,SEP,11.7,1985
GUERRERO,17.8,SEP,18.7,1985
HIDALGO,7.7,SEP,9.4,1985
JALISCO,11.9,SEP,14.8,1985
ESTADO DE MÉXICO,7.0,SEP,8.5,1985
MICHOACÁN,12.0,SEP,13.9,1985
MORELOS,13.8,SEP,15.1,1985
NAYARIT,16.5,SEP,20.1,1985
NUEVO LEÓN,12.8,SEP,17.2,1985
OAXACA,14.7,SEP,16.1,1985
PUEBLA,9.9,SEP,11.6,1985
QUERÉTARO,9.6,SEP,11.4,1985
QUINTANA ROO,19.4,SEP,20.9,1985
SAN LUIS POTOSÍ,12.9,SEP,15.9,1985
SINALOA,16.4,SEP,21.3,1985
SONORA,12.7,SEP,18.0,1985
TABASCO,21.3,SEP,22.6,1985
TAMAULIPAS,16.6,SEP,20.5,1985
TLAXCALA,5.1,SEP,6.8,1985
VERACRUZ,17.1,SEP,18.8,1985
YUCATÁN,18.9,SEP,20.4,1985
ZACATECAS,8.9,SEP,11.9,1985
AGUASCALIENTES,8.7,OCT,10.0,1985
BAJA CALIFORNIA,10.2,OCT,11.8,1985
BAJA CALIFORNIA SUR,14.3,OCT,16.3,1985
CAMPECHE,19.4,OCT,20.2,1985
COAHUILA,11.8,OCT,12.9,1985
COLIMA,17.4,OCT,19.3,1985
CHIAPAS,17.2,OCT,18.0,1985
CHIHUAHUA,7.1,OCT,7.2,1985
DISTRITO FEDERAL,8.3,OCT,9.0,1985
DURANGO,8.1,OCT,8.8,1985
GUANAJUATO,9.9,OCT,10.7,1985
GUERRERO,17.8,OCT,18.7,1985
HIDALGO,7.7,OCT,8.0,1985
JALISCO,11.9,OCT,13.9,1985
ESTADO DE MÉXICO,7.0,OCT,7.4,1985
MICHOACÁN,12.0,OCT,12.8,1985
MORELOS,13.8,OCT,14.2,1985
NAYARIT,16.5,OCT,19.8,1985
NUEVO LEÓN,12.8,OCT,14.4,1985
OAXACA,14.7,OCT,15.6,1985
PUEBLA,9.9,OCT,10.2,1985
QUERÉTARO,9.6,OCT,10.2,1985
QUINTANA ROO,19.4,OCT,20.4,1985
SAN LUIS POTOSÍ,12.9,OCT,14.3,1985
SINALOA,16.4,OCT,19.1,1985
SONORA,12.7,OCT,14.0,1985
TABASCO,21.3,OCT,22.0,1985
TAMAULIPAS,16.6,OCT,18.1,1985
TLAXCALA,5.1,OCT,6.0,1985
VERACRUZ,17.1,OCT,17.9,1985
YUCATÁN,18.9,OCT,20.0,1985
ZACATECAS,8.9,OCT,10.3,1985
AGUASCALIENTES,8.7,NOV,5.7,1985
BAJA CALIFORNIA,10.2,NOV,7.1,1985
BAJA CALIFORNIA SUR,14.3,NOV,12.7,1985
CAMPECHE,19.4,NOV,18.7,1985
COAHUILA,11.8,NOV,10.7,1985
COLIMA,17.4,NOV,16.6,1985
CHIAPAS,17.2,NOV,16.8,1985
CHIHUAHUA,7.1,NOV,3.0,1985
DISTRITO FEDERAL,8.3,NOV,6.2,1985
DURANGO,8.1,NOV,4.7,1985
GUANAJUATO,9.9,NOV,7.4,1985
GUERRERO,17.8,NOV,16.8,1985
HIDALGO,7.7,NOV,5.5,1985
JALISCO,11.9,NOV,9.4,1985
ESTADO DE MÉXICO,7.0,NOV,4.9,1985
MICHOACÁN,12.0,NOV,9.3,1985
MORELOS,13.8,NOV,11.5,1985
NAYARIT,16.5,NOV,14.0,1985
NUEVO LEÓN,12.8,NOV,11.2,1985
OAXACA,14.7,NOV,13.6,1985
PUEBLA,9.9,NOV,7.8,1985
QUERÉTARO,9.6,NOV,7.3,1985
QUINTANA ROO,19.4,NOV,18.8,1985
SAN LUIS POTOSÍ,12.9,NOV,11.6,1985
SINALOA,16.4,NOV,14.2,1985
SONORA,12.7,NOV,8.3,1985
TABASCO,21.3,NOV,20.7,1985
TAMAULIPAS,16.6,NOV,15.8,1985
TLAXCALA,5.1,NOV,3.0,1985
VERACRUZ,17.1,NOV,16.0,1985
YUCATÁN,18.9,NOV,18.3,1985
ZACATECAS,8.9,NOV,5.9,1985
AGUASCALIENTES,8.7,DIC,4.7,1985
BAJA CALIFORNIA,10.2,DIC,5.3,1985
BAJA CALIFORNIA SUR,14.3,DIC,9.6,1985
CAMPECHE,19.4,DIC,18.1,1985
COAHUILA,11.8,DIC,5.4,1985
COLIMA,17.4,DIC,15.5,1985
CHIAPAS,17.2,DIC,16.1,1985
CHIHUAHUA,7.1,DIC,-2.2,1985
DISTRITO FEDERAL,8.3,DIC,5.6,1985
DURANGO,8.1,DIC,1.5,1985
GUANAJUATO,9.9,DIC,6.0,1985
GUERRERO,17.8,DIC,16.2,1985
HIDALGO,7.7,DIC,5.1,1985
JALISCO,11.9,DIC,8.2,1985
ESTADO DE MÉXICO,7.0,DIC,4.5,1985
MICHOACÁN,12.0,DIC,8.6,1985
MORELOS,13.8,DIC,10.8,1985
NAYARIT,16.5,DIC,11.2,1985
NUEVO LEÓN,12.8,DIC,6.1,1985
OAXACA,14.7,DIC,12.7,1985
PUEBLA,9.9,DIC,7.1,1985
QUERÉTARO,9.6,DIC,6.1,1985
QUINTANA ROO,19.4,DIC,18.4,1985
SAN LUIS POTOSÍ,12.9,DIC,8.8,1985
SINALOA,16.4,DIC,10.9,1985
SONORA,12.7,DIC,4.9,1985
TABASCO,21.3,DIC,19.9,1985
TAMAULIPAS,16.6,DIC,11.0,1985
TLAXCALA,5.1,DIC,2.7,1985
VERACRUZ,17.1,DIC,14.7,1985
YUCATÁN,18.9,DIC,17.5,1985
ZACATECAS,8.9,DIC,4.6,1985
AGUASCALIENTES,8.7,ENE,2.9,1986
BAJA CALIFORNIA,10.7,ENE,6.6,1986
BAJA CALIFORNIA SUR,14.8,ENE,9.6,1986
CAMPECHE,19.0,ENE,15.4,1986
COAHUILA,12.0,ENE,4.0,1986
COLIMA,17.1,ENE,13.7,1986
CHIAPAS,17.1,ENE,14.2,1986
CHIHUAHUA,7.5,ENE,-1.5,1986
DISTRITO FEDERAL,8.4,ENE,3.2,1986
DURANGO,8.1,ENE,0.4,1986
GUANAJUATO,9.7,ENE,3.8,1986
GUERRERO,18.0,ENE,14.7,1986
HIDALGO,7.6,ENE,1.4,1986
JALISCO,11.9,ENE,6.5,1986
ESTADO DE MÉXICO,7.0,ENE,2.2,1986
MICHOACÁN,11.5,ENE,6.4,1986
MORELOS,13.4,ENE,8.5,1986
NAYARIT,16.9,ENE,11.7,1986
NUEVO LEÓN,12.8,ENE,5.1,1986
OAXACA,14.5,ENE,10.8,1986
PUEBLA,9.6,ENE,4.6,1986
QUERÉTARO,9.8,ENE,2.9,1986
QUINTANA ROO,19.2,ENE,15.8,1986
SAN LUIS POTOSÍ,13.5,ENE,6.4,1986
SINALOA,16.9,ENE,10.5,1986
SONORA,13.4,ENE,6.5,1986
TABASCO,21.2,ENE,17.4,1986
TAMAULIPAS,16.8,ENE,9.2,1986
TLAXCALA,5.0,ENE,-0.1,1986
VERACRUZ,16.6,ENE,11.4,1986
YUCATÁN,19.1,ENE,15.1,1986
ZACATECAS,8.8,ENE,2.9,1986
AGUASCALIENTES,8.7,FEB,4.1,1986
BAJA CALIFORNIA,10.7,FEB,6.6,1986
BAJA CALIFORNIA SUR,14.8,FEB,9.6,1986
CAMPECHE,19.0,FEB,16.9,1986
COAHUILA,12.0,FEB,7.3,1986
COLIMA,17.1,FEB,13.1,1986
CHIAPAS,17.1,FEB,15.1,1986
CHIHUAHUA,7.5,FEB,1.0,1986
DISTRITO FEDERAL,8.4,FEB,5.6,1986
DURANGO,8.1,FEB,2.2,1986
GUANAJUATO,9.7,FEB,5.6,1986
GUERRERO,18.0,FEB,15.8,1986
HIDALGO,7.6,FEB,4.2,1986
JALISCO,11.9,FEB,7.0,1986
ESTADO DE MÉXICO,7.0,FEB,3.7,1986
MICHOACÁN,11.5,FEB,7.5,1986
MORELOS,13.4,FEB,10.3,1986
NAYARIT,16.9,FEB,12.3,1986
NUEVO LEÓN,12.8,FEB,7.6,1986
OAXACA,14.5,FEB,12.7,1986
PUEBLA,9.6,FEB,7.0,1986
QUERÉTARO,9.8,FEB,6.4,1986
QUINTANA ROO,19.2,FEB,16.9,1986
SAN LUIS POTOSÍ,13.5,FEB,8.8,1986
SINALOA,16.9,FEB,11.1,1986
SONORA,13.4,FEB,7.0,1986
TABASCO,21.2,FEB,19.6,1986
TAMAULIPAS,16.8,FEB,11.9,1986
TLAXCALA,5.0,FEB,1.6,1986
VERACRUZ,16.6,FEB,14.1,1986
YUCATÁN,19.1,FEB,16.6,1986
ZACATECAS,8.8,FEB,4.1,1986
AGUASCALIENTES,8.7,MAR,4.4,1986
BAJA CALIFORNIA,10.7,MAR,8.5,1986
BAJA CALIFORNIA SUR,14.8,MAR,11.2,1986
CAMPECHE,19.0,MAR,16.7,1986
COAHUILA,12.0,MAR,9.0,1986
COLIMA,17.1,MAR,12.7,1986
CHIAPAS,17.1,MAR,14.9,1986
CHIHUAHUA,7.5,MAR,3.5,1986
DISTRITO FEDERAL,8.4,MAR,5.5,1986
DURANGO,8.1,MAR,3.7,1986
GUANAJUATO,9.7,MAR,6.0,1986
GUERRERO,18.0,MAR,15.8,1986
HIDALGO,7.6,MAR,4.2,1986
JALISCO,11.9,MAR,7.9,1986
ESTADO DE MÉXICO,7.0,MAR,3.8,1986
MICHOACÁN,11.5,MAR,7.8,1986
MORELOS,13.4,MAR,10.6,1986
NAYARIT,16.9,MAR,12.0,1986
NUEVO LEÓN,12.8,MAR,9.4,1986
OAXACA,14.5,MAR,12.4,1986
PUEBLA,9.6,MAR,7.3,1986
QUERÉTARO,9.8,MAR,6.1,1986
QUINTANA ROO,19.2,MAR,17.0,1986
SAN LUIS POTOSÍ,13.5,MAR,10.0,1986
SINALOA,16.9,MAR,11.4,1986
SONORA,13.4,MAR,9.0,1986
TABASCO,21.2,MAR,18.7,1986
TAMAULIPAS,16.8,MAR,13.9,1986
TLAXCALA,5.0,MAR,1.2,1986
VERACRUZ,16.6,MAR,14.1,1986
YUCATÁN,19.1,MAR,17.2,1986
ZACATECAS,8.8,MAR,4.6,1986
AGUASCALIENTES,8.7,ABR,10.1,1986
BAJA CALIFORNIA,10.7,ABR,9.3,1986
BAJA CALIFORNIA SUR,14.8,ABR,14.6,1986
CAMPECHE,19.0,ABR,19.1,1986
COAHUILA,12.0,ABR,13.5,1986
COLIMA,17.1,ABR,16.1,1986
CHIAPAS,17.1,ABR,17.1,1986
CHIHUAHUA,7.5,ABR,8.4,1986
DISTRITO FEDERAL,8.4,ABR,9.3,1986
DURANGO,8.1,ABR,8.8,1986
GUANAJUATO,9.7,ABR,11.2,1986
GUERRERO,18.0,ABR,19.0,1986
HIDALGO,7.6,ABR,8.7,1986
JALISCO,11.9,ABR,12.5,1986
ESTADO DE MÉXICO,7.0,ABR,7.8,1986
MICHOACÁN,11.5,ABR,12.6,1986
MORELOS,13.4,ABR,14.9,1986
NAYARIT,16.9,ABR,16.5,1986
NUEVO LEÓN,12.8,ABR,14.6,1986
OAXACA,14.5,ABR,15.3,1986
PUEBLA,9.6,ABR,10.8,1986
QUERÉTARO,9.8,ABR,11.1,1986
QUINTANA ROO,19.2,ABR,18.0,1986
SAN LUIS POTOSÍ,13.5,ABR,14.7,1986
SINALOA,16.9,ABR,16.0,1986
SONORA,13.4,ABR,12.4,1986
TABASCO,21.2,ABR,21.5,1986
TAMAULIPAS,16.8,ABR,18.8,1986
TLAXCALA,5.0,ABR,5.2,1986
VERACRUZ,16.6,ABR,17.9,1986
YUCATÁN,19.1,ABR,18.8,1986
ZACATECAS,8.8,ABR,10.2,1986
AGUASCALIENTES,8.7,MAY,11.9,1986
BAJA CALIFORNIA,10.7,MAY,10.8,1986
BAJA CALIFORNIA SUR,14.8,MAY,14.5,1986
CAMPECHE,19.0,MAY,20.9,1986
COAHUILA,12.0,MAY,15.5,1986
COLIMA,17.1,MAY,17.7,1986
CHIAPAS,17.1,MAY,19.0,1986
CHIHUAHUA,7.5,MAY,10.8,1986
DISTRITO FEDERAL,8.4,MAY,10.7,1986
DURANGO,8.1,MAY,11.2,1986
GUANAJUATO,9.7,MAY,12.9,1986
GUERRERO,18.0,MAY,19.9,1986
HIDALGO,7.6,MAY,10.7,1986
JALISCO,11.9,MAY,14.5,1986
ESTADO DE MÉXICO,7.0,MAY,9.6,1986
MICHOACÁN,11.5,MAY,14.2,1986
MORELOS,13.4,MAY,16.3,1986
NAYARIT,16.9,MAY,18.0,1986
NUEVO LEÓN,12.8,MAY,16.5,1986
OAXACA,14.5,MAY,16.6,1986
PUEBLA,9.6,MAY,12.3,1986
QUERÉTARO,9.8,MAY,12.7,1986
QUINTANA ROO,19.2,MAY,20.5,1986
SAN LUIS POTOSÍ,13.5,MAY,16.9,1986
SINALOA,16.9,MAY,17.6,1986
SONORA,13.4,MAY,14.3,1986
TABASCO,21.2,MAY,22.8,1986
TAMAULIPAS,16.8,MAY,20.3,1986
TLAXCALA,5.0,MAY,8.1,1986
VERACRUZ,16.6,MAY,19.4,1986
YUCATÁN,19.1,MAY,21.0,1986
ZACATECAS,8.8,MAY,12.3,1986
AGUASCALIENTES,8.7,JUN,13.0,1986
BAJA CALIFORNIA,10.7,JUN,14.6,1986
BAJA CALIFORNIA SUR,14.8,JUN,16.9,1986
CAMPECHE,19.0,JUN,21.0,1986
COAHUILA,12.0,JUN,16.6,1986
COLIMA,17.1,JUN,19.2,1986
CHIAPAS,17.1,JUN,18.7,1986
CHIHUAHUA,7.5,JUN,14.7,1986
DISTRITO FEDERAL,8.4,JUN,11.5,1986
DURANGO,8.1,JUN,13.3,1986
GUANAJUATO,9.7,JUN,13.8,1986
GUERRERO,18.0,JUN,19.8,1986
HIDALGO,7.6,JUN,11.6,1986
JALISCO,11.9,JUN,15.8,1986
ESTADO DE MÉXICO,7.0,JUN,10.4,1986
MICHOACÁN,11.5,JUN,14.8,1986
MORELOS,13.4,JUN,16.5,1986
NAYARIT,16.9,JUN,20.7,1986
NUEVO LEÓN,12.8,JUN,17.8,1986
OAXACA,14.5,JUN,16.4,1986
PUEBLA,9.6,JUN,12.3,1986
QUERÉTARO,9.8,JUN,13.6,1986
QUINTANA ROO,19.2,JUN,21.6,1986
SAN LUIS POTOSÍ,13.5,JUN,17.3,1986
SINALOA,16.9,JUN,21.9,1986
SONORA,13.4,JUN,20.4,1986
TABASCO,21.2,JUN,23.1,1986
TAMAULIPAS,16.8,JUN,21.7,1986
TLAXCALA,5.0,JUN,9.0,1986
VERACRUZ,16.6,JUN,19.4,1986
YUCATÁN,19.1,JUN,21.4,1986
ZACATECAS,8.8,JUN,13.4,1986
AGUASCALIENTES,8.7,JUL,12.1,1986
BAJA CALIFORNIA,10.7,JUL,16.5,1986
BAJA CALIFORNIA SUR,14.8,JUL,20.3,1986
CAMPECHE,19.0,JUL,20.4,1986
COAHUILA,12.0,JUL,16.9,1986
COLIMA,17.1,JUL,19.1,1986
CHIAPAS,17.1,JUL,18.2,1986
CHIHUAHUA,7.5,JUL,15.2,1986
DISTRITO FEDERAL,8.4,JUL,10.1,1986
DURANGO,8.1,JUL,13.5,1986
GUANAJUATO,9.7,JUL,12.8,1986
