ENTIDAD,ANUAL,MESES,Tmax,AÑO
AGUASCALIENTES,25.2,ENE,20.7,1985
BAJA CALIFORNIA,25.9,ENE,17.6,1985
BAJA CALIFORNIA SUR,29.9,ENE,22.7,1985
CAMPECHE,33.4,ENE,30.0,1985
COAHUILA,26.7,ENE,15.1,1985
COLIMA,32.2,ENE,30.5,1985
CHIAPAS,30.0,ENE,28.1,1985
CHIHUAHUA,24.7,ENE,14.1,1985
DISTRITO FEDERAL,23.0,ENE,21.1,1985
DURANGO,25.4,ENE,17.8,1985
GUANAJUATO,25.6,ENE,22.1,1985
GUERRERO,31.2,ENE,30.4,1985
HIDALGO,23.6,ENE,21.1,1985
JALISCO,28.5,ENE,24.7,1985
ESTADO DE MÉXICO,22.2,ENE,20.5,1985
MICHOACÁN,28.0,ENE,26.0,1985
MORELOS,28.7,ENE,28.0,1985
NAYARIT,31.4,ENE,27.3,1985
NUEVO LEÓN,27.4,ENE,17.8,1985
OAXACA,28.4,ENE,27.1,1985
PUEBLA,24.7,ENE,23.0,1985
QUERÉTARO,25.9,ENE,22.3,1985
QUINTANA ROO,31.9,ENE,28.8,1985
SAN LUIS POTOSÍ,27.3,ENE,21.5,1985
SINALOA,31.7,ENE,25.1,1985
SONORA,30.0,ENE,20.3,1985
TABASCO,32.3,ENE,27.4,1985
TAMAULIPAS,29.7,ENE,20.6,1985
TLAXCALA,21.7,ENE,20.3,1985
VERACRUZ,28.1,ENE,23.2,1985
YUCATÁN,32.8,ENE,30.1,1985
ZACATECAS,25.3,ENE,19.7,1985
AGUASCALIENTES,25.2,FEB,23.7,1985
BAJA CALIFORNIA,25.9,FEB,19.5,1985
BAJA CALIFORNIA SUR,29.9,FEB,24.3,1985
CAMPECHE,33.4,FEB,31.8,1985
COAHUILA,26.7,FEB,19.3,1985
COLIMA,32.2,FEB,31.9,1985
CHIAPAS,30.0,FEB,29.2,1985
CHIHUAHUA,24.7,FEB,18.3,1985
DISTRITO FEDERAL,23.0,FEB,22.5,1985
DURANGO,25.4,FEB,21.0,1985
GUANAJUATO,25.6,FEB,24.1,1985
GUERRERO,31.2,FEB,31.4,1985
HIDALGO,23.6,FEB,22.8,1985
JALISCO,28.5,FEB,27.4,1985
ESTADO DE MÉXICO,22.2,FEB,21.8,1985
MICHOACÁN,28.0,FEB,27.7,1985
MORELOS,28.7,FEB,29.3,1985
NAYARIT,31.4,FEB,29.2,1985
NUEVO LEÓN,27.4,FEB,20.8,1985
OAXACA,28.4,FEB,27.9,1985
PUEBLA,24.7,FEB,23.6,1985
QUERÉTARO,25.9,FEB,24.4,1985
QUINTANA ROO,31.9,FEB,30.1,1985
SAN LUIS POTOSÍ,27.3,FEB,24.2,1985
SINALOA,31.7,FEB,27.4,1985
SONORA,30.0,FEB,23.1,1985
TABASCO,32.3,FEB,29.3,1985
TAMAULIPAS,29.7,FEB,23.4,1985
TLAXCALA,21.7,FEB,21.3,1985
VERACRUZ,28.1,FEB,24.2,1985
YUCATÁN,32.8,FEB,31.4,1985
ZACATECAS,25.3,FEB,22.6,1985
AGUASCALIENTES,25.2,MAR,26.5,1985
BAJA CALIFORNIA,25.9,MAR,20.5,1985
BAJA CALIFORNIA SUR,29.9,MAR,27.0,1985
CAMPECHE,33.4,MAR,34.5,1985
COAHUILA,26.7,MAR,25.6,1985
COLIMA,32.2,MAR,33.1,1985
CHIAPAS,30.0,MAR,31.2,1985
CHIHUAHUA,24.7,MAR,22.4,1985
DISTRITO FEDERAL,23.0,MAR,25.3,1985
DURANGO,25.4,MAR,25.7,1985
GUANAJUATO,25.6,MAR,27.0,1985
GUERRERO,31.2,MAR,33.0,1985
HIDALGO,23.6,MAR,25.1,1985
JALISCO,28.5,MAR,30.0,1985
ESTADO DE MÉXICO,22.2,MAR,24.1,1985
MICHOACÁN,28.0,MAR,30.0,1985
MORELOS,28.7,MAR,31.3,1985
NAYARIT,31.4,MAR,31.8,1985
NUEVO LEÓN,27.4,MAR,26.6,1985
OAXACA,28.4,MAR,29.1,1985
PUEBLA,24.7,MAR,25.6,1985
QUERÉTARO,25.9,MAR,27.7,1985
QUINTANA ROO,31.9,MAR,32.2,1985
SAN LUIS POTOSÍ,27.3,MAR,27.8,1985
SINALOA,31.7,MAR,30.1,1985
SONORA,30.0,MAR,26.3,1985
TABASCO,32.3,MAR,32.7,1985
TAMAULIPAS,29.7,MAR,29.4,1985
TLAXCALA,21.7,MAR,23.3,1985
VERACRUZ,28.1,MAR,28.0,1985
YUCATÁN,32.8,MAR,33.3,1985
ZACATECAS,25.3,MAR,26.0,1985
AGUASCALIENTES,25.2,ABR,26.5,1985
BAJA CALIFORNIA,25.9,ABR,26.1,1985
BAJA CALIFORNIA SUR,29.9,ABR,29.0,1985
CAMPECHE,33.4,ABR,34.7,1985
COAHUILA,26.7,ABR,27.6,1985
COLIMA,32.2,ABR,32.9,1985
CHIAPAS,30.0,ABR,31.7,1985
CHIHUAHUA,24.7,ABR,25.3,1985
DISTRITO FEDERAL,23.0,ABR,23.1,1985
DURANGO,25.4,ABR,26.2,1985
GUANAJUATO,25.6,ABR,27.3,1985
GUERRERO,31.2,ABR,33.6,1985
HIDALGO,23.6,ABR,24.6,1985
JALISCO,28.5,ABR,30.6,1985
ESTADO DE MÉXICO,22.2,ABR,23.7,1985
MICHOACÁN,28.0,ABR,30.8,1985
MORELOS,28.7,ABR,32.0,1985
NAYARIT,31.4,ABR,32.4,1985
NUEVO LEÓN,27.4,ABR,28.3,1985
OAXACA,28.4,ABR,30.6,1985
PUEBLA,24.7,ABR,25.8,1985
QUERÉTARO,25.9,ABR,27.8,1985
QUINTANA ROO,31.9,ABR,32.6,1985
SAN LUIS POTOSÍ,27.3,ABR,28.4,1985
SINALOA,31.7,ABR,32.3,1985
SONORA,30.0,ABR,30.9,1985
TABASCO,32.3,ABR,33.7,1985
TAMAULIPAS,29.7,ABR,30.7,1985
TLAXCALA,21.7,ABR,22.5,1985
VERACRUZ,28.1,ABR,29.8,1985
YUCATÁN,32.8,ABR,33.6,1985
ZACATECAS,25.3,ABR,26.5,1985
AGUASCALIENTES,25.2,MAY,30.2,1985
BAJA CALIFORNIA,25.9,MAY,27.0,1985
BAJA CALIFORNIA SUR,29.9,MAY,31.6,1985
CAMPECHE,33.4,MAY,35.8,1985
COAHUILA,26.7,MAY,31.3,1985
COLIMA,32.2,MAY,33.5,1985
CHIAPAS,30.0,MAY,32.3,1985
CHIHUAHUA,24.7,MAY,30.4,1985
DISTRITO FEDERAL,23.0,MAY,25.4,1985
DURANGO,25.4,MAY,31.4,1985
GUANAJUATO,25.6,MAY,29.9,1985
GUERRERO,31.2,MAY,33.6,1985
HIDALGO,23.6,MAY,26.1,1985
JALISCO,28.5,MAY,33.0,1985
ESTADO DE MÉXICO,22.2,MAY,24.6,1985
MICHOACÁN,28.0,MAY,31.7,1985
MORELOS,28.7,MAY,32.2,1985
NAYARIT,31.4,MAY,34.7,1985
NUEVO LEÓN,27.4,MAY,31.0,1985
OAXACA,28.4,MAY,30.2,1985
PUEBLA,24.7,MAY,27.7,1985
QUERÉTARO,25.9,MAY,29.0,1985
QUINTANA ROO,31.9,MAY,33.8,1985
SAN LUIS POTOSÍ,27.3,MAY,30.9,1985
SINALOA,31.7,MAY,35.4,1985
SONORA,30.0,MAY,34.4,1985
TABASCO,32.3,MAY,35.1,1985
TAMAULIPAS,29.7,MAY,32.9,1985
TLAXCALA,21.7,MAY,24.1,1985
VERACRUZ,28.1,MAY,31.7,1985
YUCATÁN,32.8,MAY,34.9,1985
ZACATECAS,25.3,MAY,30.5,1985
AGUASCALIENTES,25.2,JUN,26.4,1985
BAJA CALIFORNIA,25.9,JUN,32.0,1985
BAJA CALIFORNIA SUR,29.9,JUN,33.4,1985
CAMPECHE,33.4,JUN,35.0,1985
COAHUILA,26.7,JUN,31.9,1985
COLIMA,32.2,JUN,33.3,1985
CHIAPAS,30.0,JUN,30.5,1985
CHIHUAHUA,24.7,JUN,32.0,1985
DISTRITO FEDERAL,23.0,JUN,23.2,1985
DURANGO,25.4,JUN,30.1,1985
GUANAJUATO,25.6,JUN,26.7,1985
GUERRERO,31.2,JUN,30.9,1985
HIDALGO,23.6,JUN,24.1,1985
JALISCO,28.5,JUN,29.3,1985
ESTADO DE MÉXICO,22.2,JUN,21.9,1985
MICHOACÁN,28.0,JUN,28.6,1985
MORELOS,28.7,JUN,28.0,1985
NAYARIT,31.4,JUN,33.6,1985
NUEVO LEÓN,27.4,JUN,31.9,1985
OAXACA,28.4,JUN,28.6,1985
PUEBLA,24.7,JUN,26.0,1985
QUERÉTARO,25.9,JUN,26.4,1985
QUINTANA ROO,31.9,JUN,34.1,1985
SAN LUIS POTOSÍ,27.3,JUN,29.4,1985
SINALOA,31.7,JUN,35.8,1985
SONORA,30.0,JUN,37.9,1985
TABASCO,32.3,JUN,34.6,1985
TAMAULIPAS,29.7,JUN,32.9,1985
TLAXCALA,21.7,JUN,21.4,1985
VERACRUZ,28.1,JUN,30.6,1985
YUCATÁN,32.8,JUN,35.1,1985
ZACATECAS,25.3,JUN,27.3,1985
AGUASCALIENTES,25.2,JUL,24.6,1985
BAJA CALIFORNIA,25.9,JUL,34.5,1985
BAJA CALIFORNIA SUR,29.9,JUL,35.3,1985
CAMPECHE,33.4,JUL,34.4,1985
COAHUILA,26.7,JUL,32.0,1985
COLIMA,32.2,JUL,31.4,1985
CHIAPAS,30.0,JUL,30.0,1985
CHIHUAHUA,24.7,JUL,30.5,1985
DISTRITO FEDERAL,23.0,JUL,22.1,1985
DURANGO,25.4,JUL,27.2,1985
GUANAJUATO,25.6,JUL,24.9,1985
GUERRERO,31.2,JUL,29.7,1985
HIDALGO,23.6,JUL,22.8,1985
JALISCO,28.5,JUL,27.3,1985
ESTADO DE MÉXICO,22.2,JUL,21.1,1985
MICHOACÁN,28.0,JUL,26.8,1985
MORELOS,28.7,JUL,26.9,1985
NAYARIT,31.4,JUL,32.0,1985
NUEVO LEÓN,27.4,JUL,32.5,1985
OAXACA,28.4,JUL,28.2,1985
PUEBLA,24.7,JUL,24.7,1985
QUERÉTARO,25.9,JUL,26.0,1985
QUINTANA ROO,31.9,JUL,33.6,1985
SAN LUIS POTOSÍ,27.3,JUL,28.0,1985
SINALOA,31.7,JUL,34.3,1985
SONORA,30.0,JUL,36.9,1985
TABASCO,32.3,JUL,34.0,1985
TAMAULIPAS,29.7,JUL,32.9,1985
TLAXCALA,21.7,JUL,20.7,1985
VERACRUZ,28.1,JUL,29.2,1985
YUCATÁN,32.8,JUL,34.3,1985
ZACATECAS,25.3,JUL,25.5,1985
AGUASCALIENTES,25.2,AGO,25.7,1985
BAJA CALIFORNIA,25.9,AGO,34.6,1985
BAJA CALIFORNIA SUR,29.9,AGO,35.6,1985
CAMPECHE,33.4,AGO,34.7,1985
COAHUILA,26.7,AGO,32.1,1985
COLIMA,32.2,AGO,32.2,1985
CHIAPAS,30.0,AGO,30.0,1985
CHIHUAHUA,24.7,AGO,30.5,1985
DISTRITO FEDERAL,23.0,AGO,23.0,1985
DURANGO,25.4,AGO,28.1,1985
GUANAJUATO,25.6,AGO,25.7,1985
GUERRERO,31.2,AGO,29.7,1985
HIDALGO,23.6,AGO,23.9,1985
JALISCO,28.5,AGO,28.3,1985
ESTADO DE MÉXICO,22.2,AGO,21.5,1985
MICHOACÁN,28.0,AGO,27.1,1985
MORELOS,28.7,AGO,27.9,1985
NAYARIT,31.4,AGO,32.4,1985
NUEVO LEÓN,27.4,AGO,33.6,1985
OAXACA,28.4,AGO,28.1,1985
PUEBLA,24.7,AGO,24.9,1985
QUERÉTARO,25.9,AGO,26.3,1985
QUINTANA ROO,31.9,AGO,33.1,1985
SAN LUIS POTOSÍ,27.3,AGO,29.6,1985
SINALOA,31.7,AGO,34.4,1985
SONORA,30.0,AGO,35.8,1985
TABASCO,32.3,AGO,34.2,1985
TAMAULIPAS,29.7,AGO,34.7,1985
TLAXCALA,21.7,AGO,21.9,1985
VERACRUZ,28.1,AGO,30.0,1985
YUCATÁN,32.8,AGO,34.4,1985
ZACATECAS,25.3,AGO,26.6,1985
AGUASCALIENTES,25.2,SEP,26.6,1985
BAJA CALIFORNIA,25.9,SEP,29.8,1985
BAJA CALIFORNIA SUR,29.9,SEP,34.8,1985
CAMPECHE,33.4,SEP,33.8,1985
COAHUILA,26.7,SEP,31.0,1985
COLIMA,32.2,SEP,32.0,1985
CHIAPAS,30.0,SEP,29.6,1985
CHIHUAHUA,24.7,SEP,27.4,1985
DISTRITO FEDERAL,23.0,SEP,22.9,1985
DURANGO,25.4,SEP,27.3,1985
GUANAJUATO,25.6,SEP,26.1,1985
GUERRERO,31.2,SEP,29.9,1985
HIDALGO,23.6,SEP,23.9,1985
JALISCO,28.5,SEP,28.9,1985
ESTADO DE MÉXICO,22.2,SEP,21.8,1985
MICHOACÁN,28.0,SEP,27.7,1985
MORELOS,28.7,SEP,26.9,1985
NAYARIT,31.4,SEP,32.2,1985
NUEVO LEÓN,27.4,SEP,31.7,1985
OAXACA,28.4,SEP,28.4,1985
PUEBLA,24.7,SEP,25.2,1985
QUERÉTARO,25.9,SEP,26.5,1985
QUINTANA ROO,31.9,SEP,32.7,1985
SAN LUIS POTOSÍ,27.3,SEP,29.4,1985
SINALOA,31.7,SEP,33.7,1985
SONORA,30.0,SEP,34.1,1985
TABASCO,32.3,SEP,33.6,1985
TAMAULIPAS,29.7,SEP,33.7,1985
TLAXCALA,21.7,SEP,21.8,1985
VERACRUZ,28.1,SEP,29.8,1985
YUCATÁN,32.8,SEP,33.6,1985
ZACATECAS,25.3,SEP,26.9,1985
AGUASCALIENTES,25.2,OCT,25.7,1985
BAJA CALIFORNIA,25.9,OCT,27.1,1985
BAJA CALIFORNIA SUR,29.9,OCT,31.9,1985
CAMPECHE,33.4,OCT,32.9,1985
COAHUILA,26.7,OCT,27.8,1985
COLIMA,32.2,OCT,32.1,1985
CHIAPAS,30.0,OCT,29.5,1985
CHIHUAHUA,24.7,OCT,24.9,1985
DISTRITO FEDERAL,23.0,OCT,23.0,1985
DURANGO,25.4,OCT,26.2,1985
GUANAJUATO,25.6,OCT,25.7,1985
GUERRERO,31.2,OCT,30.5,1985
HIDALGO,23.6,OCT,23.5,1985
JALISCO,28.5,OCT,28.7,1985
ESTADO DE MÉXICO,22.2,OCT,22.1,1985
MICHOACÁN,28.0,OCT,27.5,1985
MORELOS,28.7,OCT,27.3,1985
NAYARIT,31.4,OCT,32.5,1985
NUEVO LEÓN,27.4,OCT,28.2,1985
OAXACA,28.4,OCT,28.1,1985
PUEBLA,24.7,OCT,24.1,1985
QUERÉTARO,25.9,OCT,26.0,1985
QUINTANA ROO,31.9,OCT,31.7,1985
SAN LUIS POTOSÍ,27.3,OCT,28.2,1985
SINALOA,31.7,OCT,33.1,1985
SONORA,30.0,OCT,30.7,1985
TABASCO,32.3,OCT,32.8,1985
TAMAULIPAS,29.7,OCT,31.6,1985
TLAXCALA,21.7,OCT,21.6,1985
VERACRUZ,28.1,OCT,28.7,1985
YUCATÁN,32.8,OCT,32.5,1985
ZACATECAS,25.3,OCT,25.9,1985
AGUASCALIENTES,25.2,NOV,24.2,1985
BAJA CALIFORNIA,25.9,NOV,21.3,1985
BAJA CALIFORNIA SUR,29.9,NOV,27.7,1985
CAMPECHE,33.4,NOV,32.4,1985
COAHUILA,26.7,NOV,25.7,1985
COLIMA,32.2,NOV,31.3,1985
CHIAPAS,30.0,NOV,29.1,1985
CHIHUAHUA,24.7,NOV,21.4,1985
DISTRITO FEDERAL,23.0,NOV,22.8,1985
DURANGO,25.4,NOV,23.5,1985
GUANAJUATO,25.6,NOV,24.6,1985
GUERRERO,31.2,NOV,30.6,1985
HIDALGO,23.6,NOV,23.4,1985
JALISCO,28.5,NOV,27.6,1985
ESTADO DE MÉXICO,22.2,NOV,21.9,1985
MICHOACÁN,28.0,NOV,26.8,1985
MORELOS,28.7,NOV,27.3,1985
NAYARIT,31.4,NOV,30.1,1985
NUEVO LEÓN,27.4,NOV,26.2,1985
OAXACA,28.4,NOV,28.0,1985
PUEBLA,24.7,NOV,23.9,1985
QUERÉTARO,25.9,NOV,25.2,1985
QUINTANA ROO,31.9,NOV,31.1,1985
SAN LUIS POTOSÍ,27.3,NOV,26.8,1985
SINALOA,31.7,NOV,30.3,1985
SONORA,30.0,NOV,25.9,1985
TABASCO,32.3,NOV,31.7,1985
TAMAULIPAS,29.7,NOV,29.5,1985
TLAXCALA,21.7,NOV,21.6,1985
VERACRUZ,28.1,NOV,27.8,1985
YUCATÁN,32.8,NOV,31.6,1985
ZACATECAS,25.3,NOV,24.3,1985
AGUASCALIENTES,25.2,DIC,21.9,1985
BAJA CALIFORNIA,25.9,DIC,20.5,1985
BAJA CALIFORNIA SUR,29.9,DIC,26.2,1985
CAMPECHE,33.4,DIC,30.6,1985
COAHUILA,26.7,DIC,21.0,1985
COLIMA,32.2,DIC,31.5,1985
CHIAPAS,30.0,DIC,28.5,1985
CHIHUAHUA,24.7,DIC,19.1,1985
DISTRITO FEDERAL,23.0,DIC,21.1,1985
DURANGO,25.4,DIC,20.7,1985
GUANAJUATO,25.6,DIC,22.7,1985
GUERRERO,31.2,DIC,30.7,1985
HIDALGO,23.6,DIC,21.4,1985
JALISCO,28.5,DIC,26.2,1985
ESTADO DE MÉXICO,22.2,DIC,20.8,1985
MICHOACÁN,28.0,DIC,25.7,1985
MORELOS,28.7,DIC,27.2,1985
NAYARIT,31.4,DIC,28.3,1985
NUEVO LEÓN,27.4,DIC,20.4,1985
OAXACA,28.4,DIC,27.1,1985
PUEBLA,24.7,DIC,22.3,1985
QUERÉTARO,25.9,DIC,22.7,1985
QUINTANA ROO,31.9,DIC,28.8,1985
SAN LUIS POTOSÍ,27.3,DIC,22.9,1985
SINALOA,31.7,DIC,28.7,1985
SONORA,30.0,DIC,24.2,1985
TABASCO,32.3,DIC,28.5,1985
TAMAULIPAS,29.7,DIC,23.4,1985
TLAXCALA,21.7,DIC,19.9,1985
VERACRUZ,28.1,DIC,24.5,1985
YUCATÁN,32.8,DIC,29.2,1985
ZACATECAS,25.3,DIC,22.0,1985
AGUASCALIENTES,17.0,ENE,12.4,1986
BAJA CALIFORNIA,18.7,ENE,14.6,1986
BAJA CALIFORNIA SUR,22.8,ENE,18.5,1986
CAMPECHE,26.4,ENE,22.4,1986
COAHUILA,19.6,ENE,12.1,1986
COLIMA,24.8,ENE,22.5,1986
CHIAPAS,23.6,ENE,20.8,1986
CHIHUAHUA,16.3,ENE,8.7,1986
DISTRITO FEDERAL,16.0,ENE,11.9,1986
DURANGO,16.8,ENE,10.3,1986
GUANAJUATO,17.7,ENE,13.0,1986
GUERRERO,24.7,ENE,22.5,1986
HIDALGO,15.6,ENE,10.9,1986
JALISCO,20.3,ENE,16.5,1986
ESTADO DE MÉXICO,14.7,ENE,11.4,1986
MICHOACÁN,19.6,ENE,16.1,1986
MORELOS,21.1,ENE,17.4,1986
NAYARIT,24.6,ENE,21.0,1986
NUEVO LEÓN,19.9,ENE,13.2,1986
OAXACA,21.6,ENE,18.5,1986
PUEBLA,17.2,ENE,13.2,1986
QUERÉTARO,17.9,ENE,12.5,1986
QUINTANA ROO,25.5,ENE,22.1,1986
SAN LUIS POTOSÍ,20.5,ENE,14.6,1986
SINALOA,24.7,ENE,20.1,1986
SONORA,22.1,ENE,16.6,1986
TABASCO,26.7,ENE,22.0,1986
TAMAULIPAS,23.5,ENE,16.7,1986
TLAXCALA,13.6,ENE,9.8,1986
VERACRUZ,22.3,ENE,17.6,1986
YUCATÁN,26.0,ENE,21.7,1986
ZACATECAS,17.2,ENE,12.5,1986
AGUASCALIENTES,17.0,FEB,14.0,1986
BAJA CALIFORNIA,18.7,FEB,14.1,1986
BAJA CALIFORNIA SUR,22.8,FEB,18.2,1986
CAMPECHE,26.4,FEB,24.9,1986
COAHUILA,19.6,FEB,15.7,1986
COLIMA,24.8,FEB,22.2,1986
CHIAPAS,23.6,FEB,22.6,1986
CHIHUAHUA,16.3,FEB,11.1,1986
DISTRITO FEDERAL,16.0,FEB,14.5,1986
DURANGO,16.8,FEB,12.6,1986
GUANAJUATO,17.7,FEB,15.2,1986
GUERRERO,24.7,FEB,23.6,1986
HIDALGO,15.6,FEB,14.0,1986
JALISCO,20.3,FEB,17.3,1986
ESTADO DE MÉXICO,14.7,FEB,13.0,1986
MICHOACÁN,19.6,FEB,17.2,1986
MORELOS,21.1,FEB,19.6,1986
NAYARIT,24.6,FEB,21.0,1986
NUEVO LEÓN,19.9,FEB,16.1,1986
OAXACA,21.6,FEB,20.6,1986
PUEBLA,17.2,FEB,15.7,1986
QUERÉTARO,17.9,FEB,16.4,1986
QUINTANA ROO,25.5,FEB,23.7,1986
SAN LUIS POTOSÍ,20.5,FEB,17.7,1986
SINALOA,24.7,FEB,20.0,1986
SONORA,22.1,FEB,16.2,1986
TABASCO,26.7,FEB,25.3,1986
TAMAULIPAS,23.5,FEB,20.0,1986
TLAXCALA,13.6,FEB,11.8,1986
VERACRUZ,22.3,FEB,20.8,1986
YUCATÁN,26.0,FEB,23.9,1986
ZACATECAS,17.2,FEB,13.9,1986
AGUASCALIENTES,17.0,MAR,14.7,1986
BAJA CALIFORNIA,18.7,MAR,16.1,1986
BAJA CALIFORNIA SUR,22.8,MAR,19.8,1986
CAMPECHE,26.4,MAR,25.1,1986
COAHUILA,19.6,MAR,17.7,1986
COLIMA,24.8,MAR,22.3,1986
CHIAPAS,23.6,MAR,22.5,1986
CHIHUAHUA,16.3,MAR,13.2,1986
DISTRITO FEDERAL,16.0,MAR,15.1,1986
DURANGO,16.8,MAR,14.1,1986
GUANAJUATO,17.7,MAR,15.9,1986
GUERRERO,24.7,MAR,24.0,1986
HIDALGO,15.6,MAR,14.0,1986
JALISCO,20.3,MAR,18.5,1986
ESTADO DE MÉXICO,14.7,MAR,13.6,1986
MICHOACÁN,19.6,MAR,18.2,1986
MORELOS,21.1,MAR,20.3,1986
NAYARIT,24.6,MAR,21.9,1986
NUEVO LEÓN,19.9,MAR,18.0,1986
OAXACA,21.6,MAR,20.6,1986
PUEBLA,17.2,MAR,16.0,1986
QUERÉTARO,17.9,MAR,16.2,1986
QUINTANA ROO,25.5,MAR,24.1,1986
SAN LUIS POTOSÍ,20.5,MAR,18.8,1986
SINALOA,24.7,MAR,21.5,1986
SONORA,22.1,MAR,18.9,1986
TABASCO,26.7,MAR,24.8,1986
TAMAULIPAS,23.5,MAR,22.0,1986
TLAXCALA,13.6,MAR,11.9,1986
VERACRUZ,22.3,MAR,20.7,1986
YUCATÁN,26.0,MAR,24.7,1986
ZACATECAS,17.2,MAR,15.0,1986
AGUASCALIENTES,17.0,ABR,19.6,1986
BAJA CALIFORNIA,18.7,ABR,17.6,1986
BAJA CALIFORNIA SUR,22.8,ABR,23.4,1986
CAMPECHE,26.4,ABR,27.8,1986
COAHUILA,19.6,ABR,21.9,1986
COLIMA,24.8,ABR,24.8,1986
CHIAPAS,23.6,ABR,24.8,1986
CHIHUAHUA,16.3,ABR,18.3,1986
DISTRITO FEDERAL,16.0,ABR,17.8,1986
DURANGO,16.8,ABR,18.7,1986
GUANAJUATO,17.7,ABR,20.4,1986
GUERRERO,24.7,ABR,26.5,1986
HIDALGO,15.6,ABR,17.9,1986
JALISCO,20.3,ABR,22.3,1986
ESTADO DE MÉXICO,14.7,ABR,16.6,1986
MICHOACÁN,19.6,ABR,22.0,1986
MORELOS,21.1,ABR,23.5,1986
NAYARIT,24.6,ABR,25.5,1986
NUEVO LEÓN,19.9,ABR,22.2,1986
OAXACA,21.6,ABR,23.3,1986
PUEBLA,17.2,ABR,19.0,1986
QUERÉTARO,17.9,ABR,20.5,1986
QUINTANA ROO,25.5,ABR,25.5,1986
SAN LUIS POTOSÍ,20.5,ABR,22.7,1986
SINALOA,24.7,ABR,25.4,1986
SONORA,22.1,ABR,22.6,1986
TABASCO,26.7,ABR,28.2,1986
TAMAULIPAS,23.5,ABR,25.7,1986
TLAXCALA,13.6,ABR,15.2,1986
VERACRUZ,22.3,ABR,24.5,1986
YUCATÁN,26.0,ABR,26.7,1986
ZACATECAS,17.2,ABR,19.7,1986
AGUASCALIENTES,17.0,MAY,20.8,1986
BAJA CALIFORNIA,18.7,MAY,19.3,1986
BAJA CALIFORNIA SUR,22.8,MAY,22.8,1986
CAMPECHE,26.4,MAY,28.7,1986
COAHUILA,19.6,MAY,23.5,1986
COLIMA,24.8,MAY,25.9,1986
CHIAPAS,23.6,MAY,25.3,1986
CHIHUAHUA,16.3,MAY,20.5,1986
DISTRITO FEDERAL,16.0,MAY,18.1,1986
DURANGO,16.8,MAY,20.6,1986
GUANAJUATO,17.7,MAY,21.5,1986
GUERRERO,24.7,MAY,26.5,1986
HIDALGO,15.6,MAY,18.5,1986
JALISCO,20.3,MAY,23.6,1986
ESTADO DE MÉXICO,14.7,MAY,17.0,1986
MICHOACÁN,19.6,MAY,22.7,1986
MORELOS,21.1,MAY,23.6,1986
NAYARIT,24.6,MAY,26.1,1986
NUEVO LEÓN,19.9,MAY,23.5,1986
OAXACA,21.6,MAY,23.5,1986
PUEBLA,17.2,MAY,19.6,1986
QUERÉTARO,17.9,MAY,21.0,1986
QUINTANA ROO,25.5,MAY,26.9,1986
SAN LUIS POTOSÍ,20.5,MAY,24.0,1986
SINALOA,24.7,MAY,26.3,1986
SONORA,22.1,MAY,24.5,1986
TABASCO,26.7,MAY,29.1,1986
TAMAULIPAS,23.5,MAY,26.7,1986
TLAXCALA,13.6,MAY,16.0,1986
VERACRUZ,22.3,MAY,25.3,1986
YUCATÁN,26.0,MAY,28.1,1986
ZACATECAS,17.2,MAY,21.3,1986
AGUASCALIENTES,17.0,JUN,19.7,1986
BAJA CALIFORNIA,18.7,JUN,23.0,1986
BAJA CALIFORNIA SUR,22.8,JUN,25.0,1986
CAMPECHE,26.4,JUN,27.9,1986
COAHUILA,19.6,JUN,23.7,1986
COLIMA,24.8,JUN,26.5,1986
CHIAPAS,23.6,JUN,24.6,1986
CHIHUAHUA,16.3,JUN,22.9,1986
DISTRITO FEDERAL,16.0,JUN,17.6,1986
DURANGO,16.8,JUN,21.4,1986
GUANAJUATO,17.7,JUN,20.0,1986
GUERRERO,24.7,JUN,25.5,1986
HIDALGO,15.6,JUN,17.8,1986
JALISCO,20.3,JUN,22.7,1986
ESTADO DE MÉXICO,14.7,JUN,16.2,1986
MICHOACÁN,19.6,JUN,21.4,1986
MORELOS,21.1,JUN,22.2,1986
NAYARIT,24.6,JUN,27.3,1986
NUEVO LEÓN,19.9,JUN,23.8,1986
OAXACA,21.6,JUN,22.6,1986
PUEBLA,17.2,JUN,18.8,1986
QUERÉTARO,17.9,JUN,20.0,1986
QUINTANA ROO,25.5,JUN,27.2,1986
SAN LUIS POTOSÍ,20.5,JUN,23.2,1986
SINALOA,24.7,JUN,28.7,1986
SONORA,22.1,JUN,28.9,1986
TABASCO,26.7,JUN,28.7,1986
TAMAULIPAS,23.5,JUN,27.6,1986
TLAXCALA,13.6,JUN,15.6,1986
VERACRUZ,22.3,JUN,24.8,1986
YUCATÁN,26.0,JUN,27.9,1986
ZACATECAS,17.2,JUN,20.5,1986
AGUASCALIENTES,17.0,JUL,18.7,1986
BAJA CALIFORNIA,18.7,JUL,24.7,1986
BAJA CALIFORNIA SUR,22.8,JUL,27.6,1986
CAMPECHE,26.4,JUL,27.5,1986
COAHUILA,19.6,JUL,24.3,1986
COLIMA,24.8,JUL,25.9,1986
CHIAPAS,23.6,JUL,24.2,1986
CHIHUAHUA,16.3,JUL,22.2,1986
DISTRITO FEDERAL,16.0,JUL,16.7,1986
DURANGO,16.8,JUL,20.4,1986
GUANAJUATO,17.7,JUL,19.2,1986
